Team,Match Number,Score,Adjustpoints,Autotowerpoints,Endgametowerpoints,Foulpoints,Majorfoulcount,Minorfoulcount,Rp,Totalautopoints,Totalpoints,Totalteleoppoints,Totaltowerpoints
frc1091,1.0,99.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,99.0,74.0,10.0
frc2143,1.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,129.0,111.0,0.0
frc2202,1.0,99.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,99.0,74.0,10.0
frc4786,1.0,99.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,99.0,74.0,10.0
frc537,1.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,129.0,111.0,0.0
frc6223,1.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,129.0,111.0,0.0
