,Unnamed: 0,Team,Numberofmatches,Score,Adjustpoints,Autotowerpoints,Endgametowerpoints,Foulpoints,Majorfoulcount,Minorfoulcount,Rp,Totalautopoints,Totalteleoppoints,Totaltowerpoints,Scorepercent,Totalautopointspercent,sum
0,0,2052,17,217.8823529411765,0.0,0.0,0.0,8.529411764705882,0.3529411764705882,0.7058823529411765,2.176470588235294,55.64705882352941,153.7058823529412,0.0,0.8,0.6,1.4
2,22,3293,13,201.7692307692308,0.0,12.692307692307692,5.384615384615385,4.615384615384615,0.1538461538461538,0.1538461538461538,2.3846153846153846,50.23076923076923,146.92307692307693,18.07692307692308,0.7408373483967438,0.5416002602049114,1.2824376086016551
1,18,3100,17,214.58823529411765,0.0,0.8823529411764706,2.3529411764705883,9.411764705882351,0.4117647058823529,0.7058823529411765,2.235294117647059,41.8235294117647,163.35294117647058,3.235294117647059,0.7879049676025918,0.4509513742071881,1.2388563418097798
3,36,6147,26,189.80769230769232,0.0,1.1538461538461535,2.6923076923076925,3.076923076923077,0.3076923076923077,0.7692307692307693,1.8461538461538465,38.26923076923077,148.46153846153845,3.8461538461538463,0.6969180927064297,0.41262806960481374,1.1095461623112435
4,30,4655,16,189.25,0.0,0.0,0.625,7.1875,0.1875,0.5625,2.125,33.375,148.6875,0.625,0.6948704103671706,0.3598572938689218,1.0547277042360923
5,20,3206,15,186.0,0.0,2.0,2.0,5.666666666666667,0.2,0.6,1.4666666666666666,32.53333333333333,147.8,4.0,0.6829373650107992,0.3507822410147991,1.0337196060255982
6,44,10479,8,174.75,0.0,0.0,0.0,11.25,0.625,0.75,2.125,20.25,143.25,0.0,0.6416306695464362,0.21834038054968286,0.8599710500961191
10,40,8234,9,131.0,0.0,1.6666666666666667,2.2222222222222223,1.6666666666666667,0.2222222222222222,0.6666666666666666,1.7777777777777777,33.0,96.33333333333331,3.888888888888889,0.48099352051835853,0.355813953488372,0.8368074740067306
9,19,3130,13,131.30769230769232,0.0,2.3076923076923075,14.615384615384617,5.384615384615385,0.3076923076923077,0.6153846153846154,2.1538461538461537,32.69230769230769,93.23076923076924,16.923076923076923,0.48212327629174284,0.35249634086843384,0.8346196171601767
7,2,2169,18,133.16666666666666,0.0,0.8333333333333334,0.0,7.777777777777778,0.3888888888888889,0.6666666666666666,1.2777777777777777,31.72222222222222,93.66666666666669,0.8333333333333334,0.48894888408927284,0.34203664552501756,0.8309855296142904
8,23,3630,18,132.55555555555554,0.0,0.0,2.2222222222222223,9.166666666666666,0.4444444444444444,0.5,1.2777777777777777,31.72222222222222,91.66666666666669,2.2222222222222223,0.4867050635949124,0.34203664552501756,0.82874170911993
13,42,8878,9,116.88888888888889,0.0,0.0,0.0,3.333333333333333,0.0,0.4444444444444444,1.8888888888888888,28.444444444444443,85.11111111111111,0.0,0.4291816654667626,0.3066948555320648,0.7358765209988274
14,7,2472,16,116.4375,0.0,0.9375,0.0,3.4375,0.3125,0.6875,1.3125,26.9375,86.0625,0.9375,0.42752429805615555,0.29044661733615224,0.7179709153923077
11,37,6217,11,117.45454545454544,0.0,1.3636363636363635,2.727272727272727,1.818181818181818,0.2727272727272727,0.7272727272727273,1.9090909090909087,24.0,91.63636363636364,4.090909090909091,0.4312585902218731,0.25877378435517967,0.6900323745770527
15,34,5464,9,105.11111111111111,0.0,1.6666666666666667,1.1111111111111112,5.0,0.1111111111111111,0.6666666666666666,1.4444444444444444,25.666666666666668,74.44444444444444,2.7777777777777777,0.3859371250299976,0.27674418604651163,0.6626813110765093
12,14,2549,11,117.1818181818182,0.0,0.0,0.9090909090909092,1.818181818181818,0.3636363636363636,0.7272727272727273,1.2727272727272727,18.63636363636364,96.72727272727272,0.9090909090909092,0.43025721578637355,0.20094176436671154,0.6311989801530851
16,28,4166,11,101.63636363636364,0.0,0.0,1.818181818181818,4.090909090909091,0.0,0.2727272727272727,1.5454545454545454,22.818181818181817,74.72727272727273,1.818181818181818,0.3731788729628902,0.24603113588314432,0.6192100088460345
18,26,3883,13,94.84615384615384,0.0,1.1538461538461535,6.923076923076923,1.1538461538461535,0.3076923076923077,0.2307692307692307,1.2307692307692308,23.76923076923077,69.92307692307692,8.076923076923077,0.3482472171457052,0.256285574890226,0.6045327920359312
22,10,2502,11,87.45454545454545,0.0,0.0,0.9090909090909092,0.4545454545454545,0.0,0.0909090909090909,1.9090909090909087,24.545454545454547,62.45454545454545,0.9090909090909092,0.32110740231690554,0.26465500672688835,0.5857624090437938
21,15,2574,11,88.45454545454545,0.0,0.0,0.0,2.272727272727273,0.0909090909090909,0.4545454545454545,1.9090909090909087,24.0,62.18181818181818,0.0,0.32477910858040443,0.25877378435517967,0.5835528929355841
17,24,3691,11,99.0909090909091,0.0,0.0,2.727272727272727,0.9090909090909092,0.0,0.4545454545454545,0.7272727272727273,20.181818181818183,78.0,2.727272727272727,0.363832711564893,0.2176052277532193,0.5814379393181123
20,29,4198,9,92.66666666666669,0.0,0.0,2.2222222222222223,2.2222222222222223,0.1111111111111111,0.7777777777777778,0.7777777777777778,20.33333333333333,70.11111111111111,2.2222222222222223,0.3402447804175667,0.2192389006342494,0.559483681051816
19,45,10490,11,94.72727272727272,0.0,0.0,3.636363636363636,6.363636363636363,0.1818181818181818,0.1818181818181818,1.0909090909090908,17.90909090909091,70.45454545454545,3.636363636363636,0.34781072059689766,0.19310013453776667,0.5409108551346643
24,1,2129,14,76.85714285714286,0.0,1.0714285714285714,0.0,6.428571428571429,0.0,0.0714285714285714,0.7142857142857143,22.285714285714285,48.142857142857146,1.0714285714285714,0.2821968528232027,0.240289942615524,0.5224867954387267
23,17,3042,11,84.81818181818181,0.0,0.0,2.727272727272727,4.545454545454546,0.0909090909090909,0.0909090909090909,1.4545454545454546,18.818181818181817,61.45454545454545,2.727272727272727,0.31142744944040834,0.20290217182394768,0.514329621264356
25,13,2526,11,72.63636363636364,0.0,1.3636363636363635,2.727272727272727,3.1818181818181817,0.0909090909090909,0.8181818181818182,0.3636363636363636,20.63636363636364,48.81818181818182,4.090909090909091,0.26669939132142156,0.22250624639630986,0.4892056377177314
26,31,4693,11,67.0,0.0,1.3636363636363635,1.818181818181818,2.272727272727273,0.2727272727272727,0.2727272727272727,1.0,21.363636363636363,43.36363636363637,3.1818181818181817,0.24600431965442762,0.23034787622525463,0.47635219587968225
27,9,2500,11,58.36363636363637,0.0,0.0,0.0,0.9090909090909092,0.0,0.2727272727272727,1.4545454545454546,17.181818181818183,40.27272727272727,0.0,0.21429412919693697,0.18525850470882183,0.3995526339057588
28,3,2175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,5,2225,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,4,2207,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,11,2513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,12,2518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,2498,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,6,2264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,27,3891,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,25,3751,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,16,2606,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,21,3291,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,38,6909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,35,5996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,32,5271,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,33,5434,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
