Team,Autolinerobot,Match Number,Score,Adjustpoints,Autoampnotecount,Autoampnotepoints,Autoleavepoints,Autopoints,Autospeakernotecount,Autospeakernotepoints,Autototalnotepoints,Endgameharmonypoints,Endgamenoteintrappoints,Endgameonstagepoints,Endgameparkpoints,Endgamespotlightbonuspoints,Endgametotalstagepoints,Ensemblebonusonstagerobotsthreshold,Ensemblebonusstagepointsthreshold,Foulcount,Foulpoints,Melodybonusthreshold,Melodybonusthresholdcoop,Melodybonusthresholdnoncoop,Rp,Techfoulcount,Teleopampnotecount,Teleopampnotepoints,Teleoppoints,Teleopspeakernoteamplifiedcount,Teleopspeakernoteamplifiedpoints,Teleopspeakernotecount,Teleopspeakernotepoints,Teleoptotalnotepoints,Totalpoints
frc4537,1.0,1.0,65.0,0.0,0.0,0.0,6.0,26.0,4.0,20.0,20.0,0.0,0.0,3.0,2.0,0.0,5.0,2.0,10.0,0.0,10.0,18.0,15.0,18.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,12.0,24.0,24.0,65.0
frc5648,0.0,1.0,38.0,0.0,0.0,0.0,2.0,7.0,1.0,5.0,5.0,0.0,0.0,6.0,1.0,0.0,7.0,2.0,10.0,0.0,10.0,18.0,15.0,18.0,0.0,2.0,2.0,2.0,21.0,0.0,0.0,6.0,12.0,14.0,38.0
frc6434,1.0,1.0,65.0,0.0,0.0,0.0,6.0,26.0,4.0,20.0,20.0,0.0,0.0,3.0,2.0,0.0,5.0,2.0,10.0,0.0,10.0,18.0,15.0,18.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,12.0,24.0,24.0,65.0
frc9987,0.0,1.0,38.0,0.0,0.0,0.0,2.0,7.0,1.0,5.0,5.0,0.0,0.0,6.0,1.0,0.0,7.0,2.0,10.0,0.0,10.0,18.0,15.0,18.0,0.0,2.0,2.0,2.0,21.0,0.0,0.0,6.0,12.0,14.0,38.0
frc9991,1.0,1.0,65.0,0.0,0.0,0.0,6.0,26.0,4.0,20.0,20.0,0.0,0.0,3.0,2.0,0.0,5.0,2.0,10.0,0.0,10.0,18.0,15.0,18.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,12.0,24.0,24.0,65.0
frc9995,1.0,1.0,38.0,0.0,0.0,0.0,2.0,7.0,1.0,5.0,5.0,0.0,0.0,6.0,1.0,0.0,7.0,2.0,10.0,0.0,10.0,18.0,15.0,18.0,0.0,2.0,2.0,2.0,21.0,0.0,0.0,6.0,12.0,14.0,38.0
