,Team,Numberofmatches,Score,Adjustpoints,Autotowerpoints,Endgametowerpoints,Foulpoints,Majorfoulcount,Minorfoulcount,Rp,Totalautopoints,Totalteleoppoints,Totaltowerpoints
0,2052,17,217.88235294117646,0.0,0.0,0.0,8.529411764705882,0.35294117647058826,0.7058823529411765,2.176470588235294,55.64705882352941,153.7058823529412,0.0
18,3100,17,214.58823529411765,0.0,0.8823529411764706,2.3529411764705883,9.411764705882353,0.4117647058823529,0.7058823529411765,2.235294117647059,41.8235294117647,163.35294117647058,3.235294117647059
22,3293,13,201.76923076923077,0.0,12.692307692307692,5.384615384615385,4.615384615384615,0.15384615384615385,0.15384615384615385,2.3846153846153846,50.23076923076923,146.92307692307693,18.076923076923077
36,6147,26,189.80769230769232,0.0,1.1538461538461537,2.6923076923076925,3.076923076923077,0.3076923076923077,0.7692307692307693,1.8461538461538463,38.26923076923077,148.46153846153845,3.8461538461538463
30,4655,16,189.25,0.0,0.0,0.625,7.1875,0.1875,0.5625,2.125,33.375,148.6875,0.625
20,3206,15,186.0,0.0,2.0,2.0,5.666666666666667,0.2,0.6,1.4666666666666666,32.53333333333333,147.8,4.0
44,10479,8,174.75,0.0,0.0,0.0,11.25,0.625,0.75,2.125,20.25,143.25,0.0
2,2169,18,133.16666666666666,0.0,0.8333333333333334,0.0,7.777777777777778,0.3888888888888889,0.6666666666666666,1.2777777777777777,31.72222222222222,93.66666666666667,0.8333333333333334
23,3630,18,132.55555555555554,0.0,0.0,2.2222222222222223,9.166666666666666,0.4444444444444444,0.5,1.2777777777777777,31.72222222222222,91.66666666666667,2.2222222222222223
19,3130,13,131.30769230769232,0.0,2.3076923076923075,14.615384615384615,5.384615384615385,0.3076923076923077,0.6153846153846154,2.1538461538461537,32.69230769230769,93.23076923076923,16.923076923076923
40,8234,9,131.0,0.0,1.6666666666666667,2.2222222222222223,1.6666666666666667,0.2222222222222222,0.6666666666666666,1.7777777777777777,33.0,96.33333333333333,3.888888888888889
37,6217,11,117.45454545454545,0.0,1.3636363636363635,2.727272727272727,1.8181818181818181,0.2727272727272727,0.7272727272727273,1.9090909090909092,24.0,91.63636363636364,4.090909090909091
14,2549,11,117.18181818181819,0.0,0.0,0.9090909090909091,1.8181818181818181,0.36363636363636365,0.7272727272727273,1.2727272727272727,18.636363636363637,96.72727272727273,0.9090909090909091
42,8878,9,116.88888888888889,0.0,0.0,0.0,3.3333333333333335,0.0,0.4444444444444444,1.8888888888888888,28.444444444444443,85.11111111111111,0.0
7,2472,16,116.4375,0.0,0.9375,0.0,3.4375,0.3125,0.6875,1.3125,26.9375,86.0625,0.9375
34,5464,9,105.11111111111111,0.0,1.6666666666666667,1.1111111111111112,5.0,0.1111111111111111,0.6666666666666666,1.4444444444444444,25.666666666666668,74.44444444444444,2.7777777777777777
28,4166,11,101.63636363636364,0.0,0.0,1.8181818181818181,4.090909090909091,0.0,0.2727272727272727,1.5454545454545454,22.818181818181817,74.72727272727273,1.8181818181818181
24,3691,11,99.0909090909091,0.0,0.0,2.727272727272727,0.9090909090909091,0.0,0.45454545454545453,0.7272727272727273,20.181818181818183,78.0,2.727272727272727
26,3883,13,94.84615384615384,0.0,1.1538461538461537,6.923076923076923,1.1538461538461537,0.3076923076923077,0.23076923076923078,1.2307692307692308,23.76923076923077,69.92307692307692,8.076923076923077
45,10490,11,94.72727272727273,0.0,0.0,3.6363636363636362,6.363636363636363,0.18181818181818182,0.18181818181818182,1.0909090909090908,17.90909090909091,70.45454545454545,3.6363636363636362
29,4198,9,92.66666666666667,0.0,0.0,2.2222222222222223,2.2222222222222223,0.1111111111111111,0.7777777777777778,0.7777777777777778,20.333333333333332,70.11111111111111,2.2222222222222223
15,2574,11,88.45454545454545,0.0,0.0,0.0,2.272727272727273,0.09090909090909091,0.45454545454545453,1.9090909090909092,24.0,62.18181818181818,0.0
10,2502,11,87.45454545454545,0.0,0.0,0.9090909090909091,0.45454545454545453,0.0,0.09090909090909091,1.9090909090909092,24.545454545454547,62.45454545454545,0.9090909090909091
17,3042,11,84.81818181818181,0.0,0.0,2.727272727272727,4.545454545454546,0.09090909090909091,0.09090909090909091,1.4545454545454546,18.818181818181817,61.45454545454545,2.727272727272727
1,2129,14,76.85714285714286,0.0,1.0714285714285714,0.0,6.428571428571429,0.0,0.07142857142857142,0.7142857142857143,22.285714285714285,48.142857142857146,1.0714285714285714
13,2526,11,72.63636363636364,0.0,1.3636363636363635,2.727272727272727,3.1818181818181817,0.09090909090909091,0.8181818181818182,0.36363636363636365,20.636363636363637,48.81818181818182,4.090909090909091
31,4693,11,67.0,0.0,1.3636363636363635,1.8181818181818181,2.272727272727273,0.2727272727272727,0.2727272727272727,1.0,21.363636363636363,43.36363636363637,3.1818181818181817
9,2500,11,58.36363636363637,0.0,0.0,0.0,0.9090909090909091,0.0,0.2727272727272727,1.4545454545454546,17.181818181818183,40.27272727272727,0.0
3,2175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2225,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2207,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2498,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
